237636	10
235942	-16
54040	3
108150	40
141470	61
257320	-7
48510	-26
293482	-17
14882	-35
154126	-42
231966	-66
201642	28
166558	-6
119518	10
183162	72
284256	-5
32676	15
296296	38
73654	2
298886	33
242074	11
161980	-15
137102	-61
113078	-18
81508	5
182728	-35
239806	-61
134918	30
222362	-5
282716	-3
141064	4
43946	41
111440	-9
83440	-41
116662	17
221004	65
143584	4
30114	-12
99624	-31
192192	-37
109074	-60
151998	20
227094	-21
268324	5
226604	13
140406	-97
67284	-34
182336	11
18872	40
94836	25
167454	18
30870	43
17430	-1
29890	-45
96642	43
258006	-43
273028	-21
260456	-52
196224	107
150724	-64
153188	-25
171514	6
215964	-65
41258	67
43204	31
96600	62
41272	14
187852	-28
208810	-24
195608	89
283598	76
150052	-23
285992	94
69776	4
131572	-17
234248	2
70210	-9
207676	67
171934	29
202188	30
214172	7
120344	43
262682	31
126896	30
247380	-3
65590	-3
85638	20
276164	50
274330	-29
226814	-27
42924	17
28448	-31
18690	62
95676	-39
209062	-51
299264	-17
279272	14
217910	32
266	24
209944	6
77378	41
207354	69
2618	-17
244412	37
159824	67
260680	9
128464	-16
239316	-2
64722	-2
279482	-17
136528	16
207060	-34
68236	32
50064	25
78666	17
149940	-65
195020	-31
247464	-58
11172	97
249578	8
169960	23
2744	41
236320	11
142422	22
223888	-8
29876	66
254002	-14
13160	108
240044	-7
9618	31
236026	-20
128646	-12
173348	-29
239596	17
39984	32
293132	65
187152	52
192108	-115
296772	-95
114506	-137
141078	-40
180586	-47
241878	-32
107016	-29
210532	-12
289184	15
129934	4
200382	53
141862	-71
242592	-3
58086	7
30058	17
48426	-34
109144	18
233828	-6
34202	-5
243824	28
38836	3
268576	-31
140826	3
100772	28
76062	-51
11956	29
247940	36
146888	60
67480	-100
99064	-7
160034	-17
123760	-28
102228	23
164836	-3
70378	52
178626	-23
109018	67
36512	-52
43456	-15
194208	-6
261744	-57
297598	34
182448	35
84014	35
211806	-23
221536	15
3304	14
406	-37
131362	-60
153762	32
156366	4
201614	-45
78190	-11
169848	-20
57106	14
27076	-60
18718	2
285306	63
35826	-82
51072	48
234990	3
55300	56
204148	35
99806	-34
203322	55
185794	16
12992	65
236796	14
60186	63
148876	31
126448	7
144592	-79
54264	-9
58982	-46
184002	55
115920	48
247058	-25
255808	89
146020	46
280420	-94
284732	-19
85442	22
231742	-54
191268	7
217798	26
114002	-3
290486	-64
219394	69
126210	101
46942	26
140630	-32
31416	-46
148526	8
103320	-3
207186	39
120946	-42
278138	62
232414	-26
45122	-109
249830	29
281512	53
298508	-22
264026	15
257614	-34
70924	-60
240324	1
274918	27
75530	-34
110096	-11
144942	39
210672	-5
264950	-16
15526	16
199556	-7
257502	-10
32214	5
78400	36
14364	-12
98476	-37
64582	-9
242494	11
250684	37
138194	36
153902	22
199346	10
134456	-3
202048	-45
214620	35
107422	-22
231532	-72
51100	-7
88284	3
287658	4
274260	22
137746	47
51212	29
144480	67
243026	-28
39802	39
198506	76
212898	41
87010	18
239358	16
283430	-36
138572	2
57876	19
225932	32
13216	-37
294854	-2
179060	-33
159894	-58
39200	61
188552	-29
82950	-48
106638	4
137998	2
202440	67
136556	23
21658	37
188692	5
166124	-28
112574	55
188930	-8
222684	22
127414	58
284844	13
3220	-30
197260	27
266728	26
78274	-22
277648	34
86576	-25
131348	25
145530	1
144088	72
186102	-68
31864	14
257656	-21
37968	-29
70070	19
121954	-55
213472	-20
258706	-39
49252	-17
73192	-10
57526	-37
75250	-105
250740	25
281092	-83
260400	77
13412	23
295708	-55
285012	113
53858	-21
171906	8
3416	-33
120288	35
224966	0
259406	17
59374	-12
140910	12
258930	17
23548	22
167608	15
201810	0
72030	17
272972	12
4494	47
168294	-45
41986	58
9394	16
271026	22
34244	0
26642	9
208782	-62
83692	2
222082	-1
1092	-21
16604	-90
169442	-11
47026	9
140896	29
233156	-3
291592	-37
30534	-29
147630	51
21700	-11
85358	15
220990	17
195678	28
22652	-10
204064	22
147574	9
237706	5
269010	31
169078	11
3360	-37
13020	53
78582	1
